aligner,f1,sn,pr
Tophat2_Ill5_005_80,0.7026583822,0.9169365919,0.5695586561
Tophat2_Ill5_005_90,0.6900392048,0.920389508,0.5519100304
Tophat2_Ill5_005_100,0.6803343237,0.9243792965,0.5382351086
Tophat2_Loose_Ill5_005_0,0.9955705397,0.9960215509,0.9951199367
Tophat2_Loose_Ill5_005_10,0.9950778936,0.9956202773,0.9945361005
Tophat2_Loose_Ill5_005_20,0.9933925719,0.9945759329,0.9922120234
Tophat2_Loose_Ill5_005_30,0.9897792709,0.9926150139,0.9869596842
Tophat2_Loose_Ill5_005_40,0.9840349185,0.9896725114,0.9784611901
Tophat2_Loose_Ill5_005_50,0.9766577087,0.9860998138,0.9673947087
Tophat2_Loose_Ill5_005_60,0.967610968,0.9818052189,0.9538212891
Tophat2_Loose_Ill5_005_70,0.9574891201,0.9771806589,0.9385755279
Tophat2_Loose_Ill5_005_80,0.9466237384,0.9723638767,0.9222112268
Tophat2_Loose_Ill5_005_90,0.9353842113,0.9675854958,0.9052572145
Tophat2_Loose_Ill5_005_100,0.9238351652,0.9627925093,0.8879078683
Tophat2_Loose_Noref_Ill5_005_0,0.9163833629,0.8991469041,0.934293576
Tophat2_Loose_Noref_Ill5_005_10,0.915505215,0.8984325602,0.933239292
Tophat2_Loose_Noref_Ill5_005_20,0.9133410519,0.8970063842,0.9302816694
Tophat2_Loose_Noref_Ill5_005_30,0.9090930596,0.8945133186,0.924155948
Tophat2_Loose_Noref_Ill5_005_40,0.9027752242,0.891059493,0.914803139
Tophat2_Loose_Noref_Ill5_005_50,0.89469508,0.8867900447,0.9027423172
Tophat2_Loose_Noref_Ill5_005_60,0.8850810846,0.8818992848,0.8882859266
Tophat2_Loose_Noref_Ill5_005_70,0.8744490593,0.8766652399,0.8722440554
Tophat2_Loose_Noref_Ill5_005_80,0.8631127866,0.8712284929,0.8551468844
Tophat2_Loose_Noref_Ill5_005_90,0.8515124678,0.865890635,0.837604002
Tophat2_Loose_Noref_Ill5_005_100,0.8396419846,0.8605260324,0.8197475861
Tophat2_Noref_Ill5_005_0,0.9880040141,0.9919782977,0.9840614488
Tophat2_Noref_Ill5_005_10,0.9488970975,0.9735356481,0.9254748841
Tophat2_Noref_Ill5_005_20,0.892029239,0.949984782,0.8407384655
Tophat2_Noref_Ill5_005_30,0.8388214436,0.931446412,0.762951918
Tophat2_Noref_Ill5_005_40,0.7947251432,0.9193924642,0.6998299505
Tophat2_Noref_Ill5_005_50,0.7597661017,0.9129712819,0.6505908322
Tophat2_Noref_Ill5_005_60,0.7323592341,0.9106052553,0.6124713097
Tophat2_Noref_Ill5_005_70,0.7114598635,0.9113259206,0.5834921671
Tophat2_Noref_Ill5_005_80,0.6952880745,0.9137134085,0.5611450368
Tophat2_Noref_Ill5_005_90,0.6829912354,0.9173733147,0.544002604
Tophat2_Noref_Ill5_005_100,0.6735947328,0.921532369,0.5307868924
